airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,4,1,0,5,5,1,40.42,41,7207
1,4,1,0,5,5,1,40.42,42,6786
1,4,1,0,5,5,1,40.42,44,7207
1,5,4,1,3,0,1,40,2,24531
5,0,1,0,5,5,1,40,1,19400
1,1,1,0,5,0,1,39.92,7,13653
1,1,1,0,5,0,1,39.92,9,13653
1,1,1,0,5,0,1,39.92,10,13653
1,1,1,0,5,0,1,39.92,14,14493
1,1,1,0,5,0,1,39.92,16,6398
1,1,1,0,5,0,1,39.92,17,5978
1,1,1,0,5,0,1,39.92,21,5085
1,1,1,0,5,0,1,39.92,28,5663
1,1,1,0,5,0,1,39.92,35,5085
1,1,1,0,5,0,1,39.92,42,5085
1,4,1,1,5,3,1,39.83,48,6972
1,4,1,1,5,1,1,39.83,15,12117
5,5,1,1,5,1,1,39.75,1,20285
5,5,1,1,5,1,1,39.75,2,17208
1,2,1,1,5,3,1,39.67,7,10474
1,2,1,1,5,3,1,39.67,11,10474
1,2,1,1,5,3,1,39.67,14,9831
1,3,1,0,5,5,1,39.67,2,19167
1,1,1,0,5,0,1,39.42,7,13653
1,1,1,0,5,0,1,39.42,9,13653
1,1,1,0,5,2,1,39.25,9,13107
1,3,1,0,5,5,1,39.08,2,15702
1,3,1,0,5,5,1,39.08,2,19167
1,1,1,0,5,5,1,39.08,48,5558
5,0,1,0,5,5,1,39,1,20293
1,0,1,0,5,5,1,39,5,13162
1,0,1,0,5,5,1,39,12,13162
5,0,1,1,5,4,1,38.83,6,13840
1,4,4,0,3,0,1,38.83,1,17202
1,3,1,0,5,5,1,38.75,2,19167
1,1,1,0,5,2,1,38.67,3,16331
1,0,1,0,5,5,1,38.58,1,20827
1,0,1,0,5,5,1,38.58,3,15588
1,0,1,0,5,5,1,38.58,6,13477
1,0,1,0,5,5,1,38.58,8,13162
1,0,1,0,5,5,1,38.58,9,14737
1,0,1,0,5,5,1,38.58,10,13740
1,1,1,0,5,5,1,38.58,9,14601
1,1,1,0,5,5,1,38.58,10,16607
1,1,1,0,5,5,1,38.58,13,13971
1,1,1,0,5,5,1,38.58,15,11451
1,1,1,0,5,5,1,38.58,16,8613
1,1,1,0,5,5,1,38.58,17,6503
1,1,1,0,5,5,1,38.58,19,6828
1,1,1,0,5,5,1,38.58,21,6513
1,1,1,0,5,5,1,38.58,23,6933
1,1,1,0,5,5,1,38.58,24,6513
1,1,1,0,5,5,1,38.58,26,5778
1,1,1,0,5,5,1,38.58,33,6293
1,1,1,0,5,5,1,38.58,37,6093
1,1,1,0,5,5,1,38.58,38,6293
1,4,4,1,3,0,1,38.5,2,16782
1,1,1,0,5,2,1,38.33,9,13107
1,1,1,1,5,4,1,38.33,3,19757
1,4,4,0,5,1,1,37.92,2,16782
1,1,1,1,5,4,1,37.92,7,14194
1,1,1,1,5,4,1,37.92,8,15065
1,1,1,1,5,4,1,37.92,9,15065
1,1,1,1,5,4,1,37.92,11,13564
5,1,1,0,5,3,1,37.92,22,6015
5,1,1,0,5,3,1,37.92,25,6015
5,1,1,1,5,3,1,37.92,26,6015
5,1,1,1,5,3,1,37.92,29,6015
5,1,1,1,5,3,1,37.92,36,6015
5,3,1,0,5,4,0,37.92,2,64733
5,5,4,1,5,3,1,37.83,1,17985
5,1,1,1,5,4,1,37.83,2,19670
5,1,1,0,5,4,0,37.83,2,68963
1,5,4,1,5,1,1,37.75,16,9893
1,0,1,0,5,1,1,37.75,4,15994
1,0,1,1,5,1,0,37.75,4,51114
5,5,4,1,5,1,1,37.67,1,19235
5,5,4,1,5,1,1,37.67,2,17208
1,1,4,1,5,5,1,37.67,9,11871
1,0,2,1,1,1,1,37.58,5,11637
1,0,2,1,1,1,1,37.58,9,13527
1,0,2,1,1,1,1,37.58,9,14314
1,3,1,0,5,4,1,37.58,6,12197
1,3,1,1,5,4,1,37.58,7,12827
1,3,1,0,5,4,1,37.58,8,12197
1,3,1,1,5,4,1,37.58,9,12659
1,3,1,1,5,4,1,37.58,10,12197
1,3,1,0,5,4,1,37.58,11,12197
1,3,1,1,5,4,1,37.58,13,12197
1,3,1,1,5,4,1,37.58,14,12197
1,3,1,1,5,4,1,37.58,15,12197
5,5,1,0,2,4,0,37.58,5,58708
5,5,1,0,2,4,0,37.58,6,72338
1,3,1,0,2,5,1,37.5,2,15702
1,3,1,0,2,5,1,37.5,2,19167
5,2,1,1,2,1,1,37.42,1,20071
1,3,4,1,3,0,1,37.42,15,10204
1,0,4,1,5,4,1,37.33,3,14034
1,0,4,1,5,4,1,37.33,8,14034
1,0,4,1,5,4,1,37.33,11,14034
1,0,4,1,5,4,1,37.33,14,14643
5,5,1,1,5,1,1,37.25,1,20285
5,0,1,0,2,2,1,37.25,3,20711
5,0,1,0,2,2,1,37.17,4,13403
1,5,1,0,5,4,1,37.08,9,12007
1,5,1,0,5,4,1,37.08,10,12007
1,1,4,1,5,5,1,37.08,9,11409
1,5,1,0,5,4,1,37,4,12637
1,5,1,0,5,4,1,37,9,12007
1,0,2,1,1,1,1,37,2,13474
1,0,2,1,1,1,1,37,2,13947
1,0,2,1,1,1,1,37,3,11637
1,0,2,1,1,1,1,37,5,11637
1,0,2,1,1,1,1,37,7,12004
1,0,2,1,1,1,1,37,9,12109
1,0,2,1,1,1,1,37,9,12897
1,0,2,1,1,1,1,37,10,12897
1,0,2,1,1,1,1,37,12,11322
1,0,2,1,1,1,1,37,14,8644
1,0,2,1,1,1,1,37,16,8959
1,0,2,1,1,1,1,37,17,8959
1,0,2,1,1,1,1,37,19,6754
1,0,2,1,1,1,1,37,21,8644
1,0,2,1,1,1,1,37,23,5515
1,0,2,1,1,1,1,37,23,6754
1,0,2,1,1,1,1,37,24,6754
1,0,2,1,1,1,1,37,26,8644
1,0,2,1,1,1,1,37,28,8644
1,0,2,1,1,1,1,37,30,5515
1,0,2,1,1,1,1,37,30,6213
1,0,2,1,1,1,1,37,31,6213
1,0,2,1,1,1,1,37,33,6213
1,0,2,1,1,1,1,37,35,6476
1,0,2,1,1,1,1,37,37,5515
1,0,2,1,1,1,1,37,37,6213
1,0,2,1,1,1,1,37,38,6213
1,0,2,1,1,1,1,37,40,6213
1,0,2,1,1,1,1,37,42,6843
1,0,2,1,1,1,1,37,44,5515
1,0,2,1,1,1,1,37,44,6213
1,0,2,1,1,1,1,37,47,6213
1,4,4,1,5,5,1,37,3,15135
1,4,4,1,5,5,1,37,4,11323
1,4,4,1,5,5,1,37,6,11323
1,4,4,1,5,5,1,37,7,11323
1,4,4,1,5,5,1,37,8,11785
1,4,4,1,5,5,1,37,10,12247
1,4,4,1,5,5,1,37,11,11323
1,4,4,1,5,5,1,37,13,11323
1,4,4,1,5,5,1,37,14,11323
1,4,4,1,5,5,1,37,15,10525
1,4,4,0,5,5,1,37,17,7732
1,4,4,0,5,5,1,37,18,7732
1,4,4,0,5,5,1,37,20,7732
1,4,4,0,5,5,1,37,21,8047
1,4,4,0,5,5,1,37,22,8401
1,4,4,0,5,5,1,37,24,7732
1,4,4,0,5,5,1,37,25,7207
1,4,4,0,5,5,1,37,27,6786
1,4,4,0,5,5,1,37,28,7207
1,4,4,0,5,5,1,37,29,7207
1,4,4,0,5,5,1,37,31,7732
1,4,4,0,5,5,1,37,32,7207
1,4,4,0,5,5,1,37,34,7732
1,4,4,0,5,5,1,37,35,7207
1,4,4,0,5,5,1,37,36,6786
1,4,4,0,5,5,1,37,39,7732
1,4,4,0,5,5,1,37,41,7207
1,4,4,0,5,5,1,37,42,6786
1,4,4,0,5,5,1,37,43,7207
1,4,4,0,5,5,1,37,44,7207
1,4,4,0,5,5,1,37,46,7732
1,4,4,0,5,5,1,37,48,7207
